Outlet,Address,Postcode,Sub area,Area,State,Location category,Location description,Other remarks
La Chica Mexican Grill Bangsar,"57, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Lucky Bo,"65, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Mary Spicy Corner,"3A, Lorong Kurau, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Opus Bistro,"67, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Roost,"No. 69-1, Jalan Telawi 3, Bangsar Baru, Wilayah Persekutuan, 59100 Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Enclave@Bangsar,"1, Lorong Kurau, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Ganga Café @ Bangsar,"19, Lorong Kurau, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Vegetarian
Hani Eatery,"20A, Lrg Ara Kiri 2, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs
Kopenhagen Coffee Kapas,"No 3, Kapas Condominium, Jalan Kapas, 59100 Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
香港熱鍋 Hong Kong Hotpot,"No 39, Telawi Square, Jalan Telawi 3, 59100 Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Reservations required
Tsuka,"14, Jalan Telawi 5, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Urban Daybreak (Bangsar),"11, Jalan Telawi 5, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
VCR Bangsar,"31, Jalan Telawi 3, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
W1 Dining & Cocktails,"22, Jalan Telawi 2, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59100,Bangsar ,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
An Nam Lush,"UNIT B1-6A, ONE SOUTH LINK, 2A, JALAN KERINCHI, KIRI2, Bangsar South, 59200 Kuala Lumpur",59200,Bangsar South,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Reservations required
Kafe Seni,"G-3, Residensi Era Novum, Wilayah Persekutuan, Jalan Kerinchi Kiri 2, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59200,Bangsar South,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Tonkatsu by Ma Maison - The Sphere,"The Sphere UG-08, 1, Bangsar South, 59200 Kuala Lumpur",59200,Bangsar South,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
"kin ‘rai dee, TTDI","173A, Jln Aminuddin Baki, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Small breeds only; Upstairs
Craft Origin Cafe,"9, Lorong Rahim Kajai 13, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Restoran OK Seafood,"175, Jalan Aminuddin Baki, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Kopitiam
Seven Spade Coffee,"6A, Jalan Tun Mohd Fuad 1, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,High tables / chairs
Little Madness,"96A, Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs
Ryu by Lye@110,"167B, Jalan Aminuddin Baki, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs
Central Park @ IOI Resort City,"City, Central Park, Ioi Resort, 62000 Putrajaya, Selangor",62000,Putrajaya,Putrajaya,Selangor,Park,None,
Plat du Jour,"Unit G-1, Ground Floor, Kanvas@Prima, 15, Jalan Teknokrat 6, 63000 Cyberjaya, Selangor",63000,Cyberjaya,Cyberjaya,Selangor,Food & Beverage,Outdoor seating,None
Restaurant Hinz Kitchen,"MY Selangor Cyberjaya Glomac Jalan GC 1, 11Block C, 63000",63000,Cyberjaya,Cyberjaya,Selangor,Food & Beverage,Outdoor seating,None
"Restoran Soon Seng (Bak Kut Teh) 顺成茶骨饭店, Cyberjaya (Branch 分行)","G-5, Kanvas @ Prima, 15, Jalan Teknokrat 6, 63000 Cyberjaya, Selangor",63000,Cyberjaya,Cyberjaya,Selangor,Food & Beverage,Outdoor seating,None
Mei Keng Fatt Seafood Restaurant 美景发海鲜酒家,"No. 1, Lorong Awan 6, Kuala Ampang, 68000 Ampang, Selangor",68000,Ampang,Ampang,Selangor,Food & Beverage,Outdoor seating,None
New Heong Kee Restaurant,"446, Batu 7 1/2, Jalan Ulu Klang, 68000 Ampang Jaya, Selangor",68000,Ampang,Ampang,Selangor,Food & Beverage,Outdoor seating,None
Fine Coffee & Flowers,"C2, Jalan Ampang Utama 1/1, Tmn, Taman Ampang Utama, 68000 Ampang Jaya, Selangor",68000,Ampang,Ampang,Selangor,Food & Beverage,Indoor seating,None
Kafe Ampang 1906,"5, Jalan Pasar, Pekan Ampang, 68000 Ampang, Selangor",68000,Ampang,Hulu Langat,Selangor,Food & Beverage,Outdoor seating,Big dog friendly
Nost Coffee,"Jalan MPL 3, OFF, Jalan Merdeka, 68000 Ampang, Selangor",68000,Ampang,Hulu Langat,Selangor,Food & Beverage,Indoor seating,None
Veg Fish Farm Thai Restaurant,"KM4, Jalan Hulu Langat, 68000 Ampang, Selangor",68000,Ampang,Hulu Langat,Selangor,Food & Beverage,Outdoor seating,None
Yan Kee Hainan Chicken Rice,"45A,47,48, Plaza Ampang Jaya, Taman Pandan Mewah, 68000 Ampang Jaya, Selangor",68000,Ampang,Hulu Langat,Selangor,Food & Beverage,Outdoor seating,Carrier / Stroller
Ampang 113 Food Court (安邦113美食中心),"113, Jalan Merdeka, Kampung Baru Ampang, 68000 Ampang, Selangor",68000,Ampang,Ampang,Selangor,Food & Beverage,Outdoor seating,None
Bungalow Steakhouse Restaurant,"1162, Lorong Dagang 18, Kampung Lembah Jaya Selatan, 68000 Ampang, Selangor",68000,Ampang,Ampang,Selangor,Food & Beverage,Outdoor seating,None
Bukit Lagong,"Jalan Bukit Lagong, Bukit Lagong, 68100 Batu Caves, Selangor",68100,Bukit Lagong,Batu Caves,Selangor,Hiking,,None
Freezy68,"68, Jalan Gombak, 68100 Batu Caves, Selangor",68100,Batu Caves,Batu Caves,Selangor,Camping,,None
ROOFDECK AT LAKE CITY,"100, Jalan Sibu, Taman Wahyu, 68100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",68100,Taman Wahyu,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Restoran Chang Yi 錩亿美食,"20, Jalan Seri Utara 1, Taman Wahyu, 68100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",68100,Taman Wahyu,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; Outdoor seating,None
F 30 Food taste RESTAURANT,"69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
Kedai Makanan 66 Lok Lok Corner Restaurant,"46, Jalan Jati 1, Taman Gohtong Jaya, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
Restaurant Yoong Kee,"25, Jalan Jati 1, Gohtong Jaya, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
Sangong Charcoal Hotpot Gohtong Jaya,"No 12, Persiaran Jati 3A, Off, Jalan Jati 3, Bandar Gohtong Jaya, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,Next to Reka Hotel
Mega Restaurant,"P10, P11 & P12, Jalan Permai, Genting Permai Avenue, 69000 Genting Highlands, Pahang",69000,Genting Permai,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
一品味海鲜火锅 Ee Ping Steamboat Restaurant,"No.P2,Jalan Permai, Genting Permai Avenue,69000, 69000 Bentong, Pahang",69000,Genting Permai,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
Xiao Ming KopiTiam (Gohtong Jaya),"Jalan Jati 1, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Indoor seating,None
太串露营烤吧 Tai Chuan Bbq Bar,"Persiaran Jati 3A, 69000 Genting Highlands, Pahang, Kampung Genting, Malaysia",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
桂林海鲜饭店 Qui Lin Seafood Restaurant,"58A, Jalan Jati 1, Gohtong Jaya, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
辣妹火锅 云顶半山 LAMEI HOTPOT GOHTONG JAYA GENTING HIGHLANDS,"12, Persiaran Jati 3A, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
重庆纸包鱼火锅烧烤,"23a, Jalan Jati 1, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
Thai On Mookata,"No 1-3, First Floor, Jalan Jati 1, Taman Goh Tong Jaya, 69000 Genting Highlands, Pahang",69000,Gohtong Jaya,Genting Highlands,Pahang,Food & Beverage,Outdoor seating,None
Restoran Sin Tai Chew,"45, Jalan Dato Sheikh Ahmad, Bandar Seremban, 70000 Seremban, Negeri Sembilan",70000,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
芙蓉烧蟹 Seremban Seafood Village,"3720-3724, Jalan Tuanku Munawir, Tuanku Manuwir, 70000 Seremban, Negeri Sembilan",70000,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,Reservation required
AU'S CAFE,"873 atas, Jalan Belimbing 2, Taman Sejahtera, 70100 Seremban, Negeri Sembilan",70100,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Indoor seating,Reservations required for private room use
皇家山鱼头烧蟹,"17-GF, Jalan Seri Rahang 1, Taman Seri Rahang, 70100 Seremban, Negeri Sembilan",70100,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Bluer Art Studio,"Perniagaan kepayang, 83-2, jalan MPK 2, medan, bukit kepayang, 70200 Seremban, Negeri Sembilan",70200,Seremban,Seremban,Negeri Sembilan,Activity,Art studio,Reservations required
Bukit Kepayang Hiking Trail,"Jalan Tmn Bkt Kepayang Besar 1, Taman Bukit Kepayang, 70200 Seremban, Negeri Sembilan",70200,Seremban,Seremban,Negeri Sembilan,Hiking,,None
Catopio Domination,"Commerce Square, 36, Jalan MPK 4, Taman Bukit Kepayang, 70200 Seremban, Negeri Sembilan",70200,Taman Bukit Kepayang,Seremban,Negeri Sembilan,Food & Beverage,Indoor seating,None
Toast House Kitchen,"22 & 22-1, Jalan PKL 2, Pusat Komersial Lobak, 70200 Seremban, Negeri Sembilan",70200,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Hou Kee Restaurant,"6526, Jalan Rasah, Bukit Rasah, 70300 Seremban, Negeri Sembilan",70300,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Amy Vietnamese Restaurant,"301, Jalan S2 B13, Seremban 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
LCLY Restaurant Seremban 2,"Lot 1160, Persiaran S2/E1, City Centre, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,Reservations suggested for food
Lily Noodles House,"22, Jalan S2 B1, Lake View Square, 70300 Seremban, Negeri Sembilan",70300,Seremban,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Lim Ho Pan Mee,"Seksyen B, 189, Jalan S2 B7, Uptown Avenue Seremban 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Oakland老街鱼丸粉,"A20-G,Block A,Jalan Haruan 5/9 Pusat Komersial Oakland 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Restoran Hing Hing Hing,"15, Jalan S2 B1, Lake View Square Seremban 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Starz Cafe,"1st Floor, 251, Jalan S2 B12, Uptown Avenue Seremban 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
The Cabin. Mediterranean & Barbeque Gastrobar,"Uptown Avenue, 216, Jalan S2 B10, Seremban 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Outdoor seating,None
GOYOG SEREMBAN,"299, Jalan S2 B13, Uptown Avenue Seremban 2, 70300 Seremban, Negeri Sembilan",70300,Seremban 2,Seremban,Negeri Sembilan,Food & Beverage,Indoor seating,None
Iringan Bayu Wetland Park,"Persiaran Iringan, Jalan Bayu 3, Taman Iringan Bayu, 70300 Seremban, Negeri Sembilan",70300,Seremban,Seremban,Negeri Sembilan,Park,,None
"FarmVille Glamping Retreat @ Seremban - Near Kuala Lumpur KL, Selangor","Kg Dato Wong Seng Chow Kg Sikamat Lama, off, Jalan Sikamat, 70400 Seremban, Negeri Sembilan",70400,Seremban,Seremban,Negeri Sembilan,Camping; Glamping,,None
H&n Campsite,"LOT 1341, Jalan Pantai, BATU 4, 71000 Port Dickson, Negeri Sembilan",71000,Batu 4,Port Dickson,Negeri Sembilan,Camping,,None
JCK Lake Port Dickson,"Lot 11890, Bukit Permata, 71010, Lukut, Negeri Sembilan",71010,Lukut,Port Dickson,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Sky Ladder Pineapple Farm,"Lot 2273 Jalan Kampung Sri Parit 3, Bandar Baru Lukut",71010,Lukut,Port Dickson,Negeri Sembilan,Attraction,Farm,None
好運麵包王Lucky King Bun(Lukut),"Taman Aman, 4366, Jalan Besar, Lukut, 71010 Port Dickson, Negeri Sembilan",71010,Lukut,Port Dickson,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Xiwang Village Seafood Restaurant,"2, Jalan Medan Remis 2 Telok Kemang, 71050 Port Dickson, Negeri Sembilan",71050,Telok Kemang,Port Dickson,Negeri Sembilan,Food & Beverage,Indoor seating,None
Glamping at Kongkoi,"Lot 608, Kampung Puom, 71650 Titi, Negeri Sembilan",71650,Titi,Titi,Negeri Sembilan,Camping; Glamping,,None
The 10 Villas,"Lot 446, Jalan Pertanian Kg,Sg,Rotan, 71650 Titi, Negeri Sembilan",71650,Titi,Titi,Negeri Sembilan,Pet friendly stay,None,None
Restoran Makanan Laut Shengee,"1-3 , Mantin Square 71700 Mantin, Negeri Sembilan, Malaysia",71700,Mantin,Mantin,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Arch By The River,"Lot 776, 71700 Mantin, Negeri Sembilan",71700,Mantin,Mantin,Negeri Sembilan,Camping,None,None
Kebun Chenta,"Lot 3780, Kampung Mantin Dalam, 71700 Mantin, Negeri Sembilan",71700,Mantin,Mantin,Negeri Sembilan,Camping,None,
Xiang Long Eneridaygetic Holiday Village,"159, Jalan Andalas 2, Mantin, Negeri Sembilan",71700,Mantin,Mantin,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Restoran He Ping竹筒燒鱼,"Lot 4903A, jalan tanah pinggir,, 71750 Lenggeng, Negeri Sembilan",71750,Broga,Lenggeng,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Broga Leisure Homestay,"Lot 4590, Kampung Tegur, Batu 18, Ulu Beranang Beranang, 71750 Lenggeng, Negeri Sembilan",71750,Broga,Lenggeng,Negeri Sembilan,Camping,,None
Orchard Hill Cafe,"Lot 3009 Jalan Tanah Pinggir, Jalan Broga, 71750 Mantin, Negeri Sembilan",71750,Broga,Lenggeng,Negeri Sembilan,Camping,,None
SHIBA CAMPSITE,"5371, Jalan Broga, 71750 Semenyih, Negeri Sembilan",71750,Broga,Semenyih,Negeri Sembilan,Camping,,None
YAKA Campsite,"Jalan Broga, 71750 Lenggeng, Negeri Sembilan",71750,Broga,Lenggeng,Negeri Sembilan,Camping,,None
水木佳园综合度假村 Mizuki Garden,"Lot 2131 ,Kg Ulu Beranang Bt.18, Kg Tegur, Lenggeng,Negeri Sembilan 71750",71750,Broga,Lenggeng,Negeri Sembilan,Food & Beverage,Outdoor seating,None
Kairos Villa,"Lot 3133 Jalan Pantai, Batu 9 Pantai, 71770 Seremban, Negeri Sembilan",71770,Berembun Forest Reserve,Seremban,Negeri Sembilan,Pet friendly stay,,None
Plassid Villa,"Seremban, Negeri Sembilan",71770,Berembun Forest Reserve,Seremban,Negeri Sembilan,Pet friendly stay,,None
The Dusun,"3437, Jalan, Mukim, Kampung Baru Pantai, 71770 Seremban, Negeri Sembilan",71770,Berembun Forest Reserve,Seremban,Negeri Sembilan,Pet friendly stay,,None
Durian Ecolodge,"Lot 363, Batu 9, Jalan Tampin-Gemas, Kampung Pondoi, 73000 Tampin, Negeri Sembilan",73000,Tampin,Tampin,Negeri Sembilan,Camping,,None
Happy Wei Wei Kopitiam,"Melaka Raya, 75000 Malacca",75000,Melaka Raya,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Heng Hainanese Chicken Rice Balls,"Jalan Merdeka, Taman Melaka Raya, 75000 Melaka",75000,Melaka Raya,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Yi Yuan Dim Sum House 億源点心之家,"3 & 5, Jalan Tamby Abdullah, 75000 Melaka",75000,Banda Hilir,Malacca City,Melaka,Food & Beverage,Outdoor seating,
Ming Sate Hut,"G33 ,Pm4, Plaza Mahkota, 75000 Melaka",75000,Plaza Mahkota,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Restoran Tong Sheng,"377 & 378, Jalan Melaka Raya 6, Taman Melaka Raya, 75000 Melaka",75000,Melaka Raya,Malacca City,Melaka,Food & Beverage,Outdoor seating,Reservations required
Zhong Tai Seafood Restaurant,"No. 267 & 267A, Jalan Melaka Raya 3, Taman Melaka Raya, Melaka, 75000 Malacca",75000,Melaka Raya,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
The Upper,"52, Jalan Temenggong, Kampung Banda Kaba, 75000 Melaka",75000,Jalan Temenggong,Malacca City,Melaka,Food & Beverage,indoor seating,Reservations required
The Bella Donna,"A-1 Eredia Road, Portuguese Settlement, 75050 Malacca",75050,Portuguese Settlement,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
葡萄牙村好运来海鲜7 Pescados,MY Melaka Melaka Perkampungan Portugis Medan Selera Lot 7 邮政编码:邮政编码: 75050,75050,Portuguese Settlement,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Tai Zi Satay Celup 太子沙爹朱律,"10, Jalan Tun Sri Lanang, Kampung Durian Daun, 75100 Melaka",75100,Kampung Durian Daun,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
BABA KAYA,"13A, Jalan. Bunga Raya, Melaka Tengah, 75100 Melaka",75100,Melaka Tengah,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Capitol Seafood Longkang Siham,"Jln. Bunga Raya, Kampung Jawa, 75100 Melaka",75100,Jalan Bunga Raya,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Cuties Land 萌宠世界,"39 & 41, Jalan PPPS 1, Pusat Perniagaan Putra Sentosa, 75150 Bukit Baru, Melaka",75150,Pusar Perniagaan Putra Sentosa,Bukit Baru,Melaka,Food & Beverage,Indoor seating; Pet cafe,None
Dan Garden Homestay,"C4994, Jalan Tanjung, Bukit Baru, 75150, Malacca",75150,Jalan Tanjung,Bukit Baru,Melaka,Pet friendly stay,,None
Beh Leh Hainam Satay,"313, Jalan Gajah Berang, 75200 Melaka",75200,Gajah Berang,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
eha juice & veggie bistro,"57, Lorong Hang Jebat, 75200 Melaka",75200,Lorong Hang Jebat,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Grounded 22,"22A, Jalan KLJ 10, Taman Kota Laksamana, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Kuay Tiaw Zabb @KLaksamana,"Jalan Kota Laksamana, Taman Kota Laksamana, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Lui Chiu Family Coffee House,"21, Jalan KPKS 3, Kompleks Perniagaan Al-azim, 75200 Kota Syahbandar, Melaka",75200,Kota Syahbandar,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Lung Ann Refreshments,"93/807, Lorong Hang Jebat, 75200 Melaka",75200,Lorong Hang Jebat,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Man Ting Xiang Dim Sum Restaurant,"4, Jalan Kota Laksamana 3/13, Taman Mahajaya, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Ram Cafe,"60, Lorong Hang Jebat, 75200 Melaka",75200,Lorong Hang Jebat,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Sun May Hiong Satay House,"50/52, Jalan Kota Laksamana 1/1, Taman Kota Laksamana, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Baba Charlie Cafe,"631, Jalan Siantan 1/5, Taman Siantan Seksyen 1, 75200 Melaka",75200,Jalan Siantan,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Baba Low’s @ Tranquerah,"Jalan Siantan Sek 2, Off, Jln Tengkera, Kampung Lapan, 75200, Malacca",75200,Kampung Lapan,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Ban Hong Xiang Tea House,"Jalan Kesidang 3/2, 75200 Melaka",75200,Jalan Kesidang,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Bibik House Chendol,"125, Jalan Hang Jebat, 75200 Melaka",75200,Jalan Hang Jebat,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
REGGAE ON THE RIVER MELAKA,"88, Lorong Hang Jebat, 75200 Melaka",75200,Jalan Hang Jebat,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
The Old Merchant,"88, Jalan Kampung Pantai, 75200 Melaka",75200,Jalan Kampung Pantai,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Vspace Guesthouse and Cafe,"94, Jalan Kampung Pantai, 75200 Melaka",75200,Jalan Kampung Pantai,Malacca City,Melaka,Food & Beverage,Outdoor seating,Pet friendly stay
签手砂锅串串-Melaka Qian Shou,"12, Jalan KPKS 7, KOMPLEKS PERNIAGAAN KOTA SHAHBANDAR, 75200 Melaka",75200,Kota Shahbandar,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
阿嬷好料 Ah Ma Ho Liao - Jonker Outlet,"v82, Jalan Tokong, Kampung Tiga, 75200 Melaka",75200,Jalan Tokong,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
Casa Cucina Modern Italian Restaurant,"14, Jalan Kota Laksamana 3/7, Taman Mahajaya, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Food & Beverage,Indoor seating; Outdoor seating,None
"Infinito Restaurant, Melaka","39, Jalan KLJ 6, Taman Kota Laksamana, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Food & Beverage,indoor seating,Carrier / Stroller
The Coffee JAR,"38, Lorong Hang Jebat, 75200 Melaka",75200,Lorong Hang Jebat,Malacca City,Melaka,Food & Beverage,indoor seating,Carrier / Stroller
The Woods 大屋子,"35, Jalan Gajah Berang, 75200 Melaka",75200,Gajah Berang,Malacca City,Melaka,Food & Beverage,Indoor seating,Carrier/Stroller
Tiong Hwa Hainan Chicken Rice,"14, Jalan Hang Lekir, 75200 Melaka",75200,Jalan Hang Lekir,Malacca City,Melaka,Food & Beverage,Indoor seating,Carrier / Stroller
Tt Pets & Family Guesthouse Melaka,"Jalan KL 3/11, Seksyen 3, Taman Kota Laksamana, 75200 Melaka",75200,Kota Laksamana,Malacca City,Melaka,Accomodation,None,None
Vintage Green Cafe @ The Daughter,"13, Jalan. Bunga Raya, Kampung Jawa, 75200 Melaka",75200,Jalan Bunga Raya,Malacca City,Melaka,Food & Beverage,indoor seating,Reservations required; Well behaved pets
源記茶餐室 Juan Kee Kopitiam,"96, Jalan Hang Kasturi, Melaka Tengah, 75200 Melaka",75200,Melaka Tengah,Malacca City,Melaka,Food & Beverage,Indoor seating,None
All Best Kopitiam,"Jalan Kesidang 3/9, Melacca Mall, 75250 Melaka",75250,Jalan Kesidang,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
175 Gallery Cafe,"175, Jalan Tun Tan Cheng Lock, Taman Kota Laksamana, 75250 Melaka",75250,Kota Laksamana,Malacca City,Melaka,Food & Beverage,indoor seating,Carrier / Stroller
Laki,"11, BLOK A, Jalan PB4, PLAZA BACHANG, 75250 Melaka",75250,Bachang,Bachang,Melaka,Food & Beverage,Indoor seating,None
初心咖啡馆 马六甲 SOLO CAFE,"No.12, 1, Jalan KSB 14, Taman Kota Syahbandar, 75250, Melaka",75250,Kota Syahbandar,Malacca City,Melaka,Food & Beverage,Indoor seating,None
Salud Tapas,"94, Jalan Tun Tan Cheng Lock, 75300 Melaka",75300,Kota Laksamana,Malacca City,Melaka,Food & Beverage,Outdoor seating,None
